DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-29 02:00:00,3,5,02:00-02:15,5924.50,5101.70,3336.60,3336.6,4770.86,May%202023.xlsx,02:00
2023-05-22 19:15:00,20,39,19:15-19:30,5928.40,6766.40,3077.60,3333.91,6893.75,May%202023.xlsx,19:15
2023-05-28 03:15:00,4,7,03:15-03:30,5929.40,5082.00,3786.15,3786.15,6499.81,May%202023.xlsx,03:15
2023-05-08 18:45:00,19,38,18:45-19:00,5929.80,3009.90,2719.65,2719.65,8500.28,May%202023.xlsx,18:45
2023-05-17 10:30:00,11,22,10:30-10:45,5931.00,5719.50,3710.71,3710.71,4680.15,May%202023.xlsx,10:30
2023-05-18 02:15:00,3,5,02:15-02:30,5932.00,5533.20,3759.17,3759.16,3800.33,May%202023.xlsx,02:15
2023-05-29 13:30:00,14,28,13:30-13:45,5939.30,6496.40,3865.88,3865.88,5239.7,May%202023.xlsx,13:30
2023-05-29 05:00:00,6,11,05:00-05:15,5946.50,7619.40,5586.60,5586.6,2100.27,May%202023.xlsx,05:00
2023-05-31 01:00:00,2,3,01:00-01:15,5947.70,5041.70,4016.30,4016.3,8499.61,May%202023.xlsx,01:00
2023-05-28 15:30:00,16,32,15:30-15:45,5948.10,6540.90,3791.41,3791.42,4499.41,May%202023.xlsx,15:30
2023-05-27 17:00:00,18,35,17:00-17:15,5949.80,5658.00,4337.88,4337.88,4630.18,May%202023.xlsx,17:00
2023-05-18 02:00:00,3,5,02:00-02:15,5953.70,5877.20,3706.62,3706.62,3900.48,May%202023.xlsx,02:00
2023-05-30 05:30:00,6,12,05:30-05:45,5955.90,5795.90,4281.71,4281.71,5679.85,May%202023.xlsx,05:30
2023-05-23 13:15:00,14,27,13:15-13:30,5958.60,9772.40,5111.94,5111.94,3500.48,May%202023.xlsx,13:15
2023-05-19 03:45:00,4,8,03:45-04:00,5965.10,4269.40,3534.92,3534.92,7142.88,May%202023.xlsx,03:45
2023-05-15 19:45:00,20,40,19:45-20:00,5967.80,4666.00,3773.20,3773.2,5152.97,May%202023.xlsx,19:45
2023-05-21 22:00:00,23,45,22:00-22:15,5967.80,4398.50,3633.80,3633.8,5600.5,May%202023.xlsx,22:00
2023-05-19 03:30:00,4,8,03:30-03:45,5969.40,4028.40,3594.49,3594.49,7499.29,May%202023.xlsx,03:30
2023-05-22 11:00:00,12,23,11:00-11:15,5969.70,7532.20,3383.40,3383.4,5000.29,May%202023.xlsx,11:00
2023-05-18 14:15:00,15,29,14:15-14:30,5969.70,5031.10,4162.26,4162.26,7142.72,May%202023.xlsx,14:15
2023-05-30 11:45:00,12,24,11:45-12:00,5971.80,6671.90,3660.40,3660.4,4486.98,May%202023.xlsx,11:45
2023-05-29 17:45:00,18,36,17:45-18:00,5974.30,7197.80,4407.54,4086.95,4517.23,May%202023.xlsx,17:45
2023-05-30 11:15:00,12,23,11:15-11:30,5975.50,5887.30,3270.20,3270.2,5600.53,May%202023.xlsx,11:15
2023-05-05 12:15:00,13,25,12:15-12:30,5980.40,6661.50,4518.90,4518.9,3990.5,May%202023.xlsx,12:15
2023-05-29 04:00:00,5,9,04:00-04:15,5984.90,7522.50,5326.60,5326.6,2470.54,May%202023.xlsx,04:00
2023-05-16 15:00:00,16,31,15:00-15:15,5990.90,4236.90,3079.49,3079.49,5555.98,May%202023.xlsx,15:00
2023-05-22 11:15:00,12,23,11:15-11:30,5991.40,7359.40,3210.60,3210.6,5000.6,May%202023.xlsx,11:15
2023-05-21 21:30:00,22,44,21:30-21:45,5999.70,4953.00,4245.30,4245.3,5000.52,May%202023.xlsx,21:30
2023-05-03 19:00:00,20,39,19:00-19:15,5999.80,3591.60,3489.53,3489.53,7500.6,May%202023.xlsx,19:00
2023-05-19 05:15:00,6,11,05:15-05:30,6003.00,3312.60,3153.60,3153.6,8500.26,May%202023.xlsx,05:15
2023-05-12 20:00:00,21,41,20:00-20:15,6005.30,3863.30,3721.40,3721.4,9999.8,May%202023.xlsx,20:00
2023-05-27 17:45:00,18,36,17:45-18:00,6010.10,6374.60,4557.00,4557.0,4499.18,May%202023.xlsx,17:45
